T0 R276:3606470.171950,IMG_BLUR,1,3,3,3606470.210056,3606470.225446,3606470.239579,INSTR,98820809
T0 R280:3606470.323484,IMG_SHARPEN,1,2,2,3606470.323518,3606470.323576,3606470.385358,INSTR,628477668
T0 R283:3606470.430192,IMG_BLUR,1,26,26,3606470.430226,3606470.430237,3606470.444103,INSTR,98820622
T0 R290:3606470.722552,IMG_SHARPEN,1,11,11,3606470.722586,3606470.722624,3606470.743543,INSTR,210553389
T0 R291:3606470.751291,IMG_BLUR,1,11,11,3606470.751325,3606470.751362,3606470.765340,INSTR,98820835
T0 R299:3606471.100086,IMG_SHARPEN,1,9,9,3606471.100121,3606471.100162,3606471.121025,INSTR,210418341
T0 R300:3606471.162083,IMG_BLUR,1,32,32,3606471.162122,3606471.162133,3606471.215133,INSTR,363702504
T0 R305:3606471.341644,IMG_BLUR,1,6,6,3606471.341678,3606471.341728,3606471.420511,INSTR,545881896
T0 R311:3606471.682150,IMG_BLUR,1,14,14,3606471.682183,3606471.682233,3606471.696281,INSTR,98824552
T0 R312:3606471.752834,IMG_SHARPEN,1,14,14,3606471.752868,3606471.752918,3606471.773725,INSTR,210866648
T0 R313:3606471.767704,IMG_BLUR,1,12,12,3606471.773777,3606471.773783,3606471.833993,INSTR,363702593
T0 R314:3606471.802465,IMG_BLUR,1,4,4,3606471.814080,3606471.834010,3606471.849166,INSTR,102150483
T0 R319:3606472.012289,IMG_BLUR,1,2,2,3606472.012322,3606472.012357,3606472.054129,INSTR,294428943
T0 R325:3606472.147187,IMG_SHARPEN,1,38,38,3606472.147226,3606472.280154,3606472.318171,INSTR,412184470
T0 R327:3606472.197328,IMG_SHARPEN,1,23,23,3606472.197365,3606472.320227,3606472.380599,INSTR,629379254
T0 R338:3606472.689282,IMG_BLUR,1,15,15,3606472.689322,3606472.689360,3606472.717237,INSTR,192738696
T0 R346:3606473.001492,IMG_BLUR,1,1,1,3606473.011049,3606473.040887,3606473.055580,INSTR,98821100
T0 R350:3606473.225484,IMG_BLUR,1,11,11,3606473.225518,3606473.225556,3606473.239642,INSTR,98820835
T0 R352:3606473.240937,IMG_BLUR,1,24,24,3606473.240969,3606473.241008,3606473.254926,INSTR,98820639
T0 R354:3606473.286812,IMG_SHARPEN,1,46,46,3606473.286851,3606473.286905,3606473.347299,INSTR,629378787
T0 R355:3606473.307358,IMG_SHARPEN,1,2,2,3606473.307391,3606473.347344,3606473.409023,INSTR,628736345
T0 R356:3606473.334981,IMG_BLUR,1,34,34,3606473.347346,3606473.409031,3606473.490187,INSTR,545873451
T0 R357:3606473.372199,IMG_SHARPEN,1,5,5,3606473.389050,3606473.490200,3606473.557151,INSTR,628166573
T0 R364:3606473.770779,IMG_BLUR,1,41,41,3606473.770825,3606473.770875,3606473.816557,INSTR,294429237
T0 R365:3606473.772035,IMG_BLUR,1,21,21,3606473.811065,3606473.816575,3606473.831097,INSTR,102151753
T0 R374:3606474.317106,IMG_SHARPEN,1,19,19,3606474.330154,3606474.330161,3606474.370342,INSTR,411160234
T0 R375:3606474.403620,IMG_SHARPEN,1,19,19,3606474.403662,3606474.403696,3606474.442584,INSTR,411038305
T0 R377:3606474.473193,IMG_SHARPEN,1,33,33,3606474.473229,3606474.473268,3606474.493418,INSTR,211113838
T0 R380:3606474.542160,IMG_BLUR,1,37,37,3606474.542196,3606474.599846,3606474.641228,INSTR,294437935
T0 R386:3606474.829190,IMG_BLUR,1,1,1,3606474.829225,3606474.829263,3606474.843328,INSTR,98820706
T0 R389:3606474.931995,IMG_SHARPEN,1,4,4,3606474.932029,3606474.932067,3606474.953877,INSTR,217878612
T0 R392:3606475.047898,IMG_SHARPEN,1,24,24,3606475.047930,3606475.047968,3606475.069423,INSTR,210768566
T0 R393:3606475.053122,IMG_BLUR,1,43,43,3606475.069472,3606475.069479,3606475.147254,INSTR,545872514
T0 R396:3606475.124640,IMG_BLUR,1,34,34,3606475.147323,3606475.252240,3606475.331656,INSTR,545872896
T0 R399:3606475.251115,IMG_BLUR,1,22,22,3606475.251154,3606475.541111,3606475.555841,INSTR,102151764
T0 R400:3606475.270951,IMG_BLUR,1,48,48,3606475.270985,3606475.555847,3606475.632202,INSTR,545872635
T0 R406:3606475.705725,IMG_BLUR,1,10,10,3606475.718052,3606475.814655,3606475.857460,INSTR,294438387
T0 R416:3606475.938324,IMG_SHARPEN,1,42,42,3606475.938371,3606476.071239,3606476.091869,INSTR,218393346
T0 R421:3606476.241760,IMG_BLUR,1,23,23,3606476.241801,3606476.241852,3606476.283516,INSTR,294438070
T0 R422:3606476.306054,IMG_BLUR,1,35,35,3606476.306094,3606476.306144,3606476.359728,INSTR,363702503
T0 R426:3606476.611844,IMG_SHARPEN,1,52,52,3606476.611877,3606476.611926,3606476.634563,INSTR,211114777
T0 R427:3606476.633574,IMG_BLUR,1,48,48,3606476.634618,3606476.634625,3606476.712845,INSTR,545872896
T0 R431:3606476.850766,IMG_SHARPEN,1,7,7,3606476.850801,3606476.850851,3606476.928398,INSTR,777391282
T0 R438:3606477.109397,IMG_BLUR,1,18,18,3606477.109436,3606477.109476,3606477.123550,INSTR,98820825
T0 R440:3606477.180491,IMG_SHARPEN,1,1,1,3606477.180523,3606477.180561,3606477.201350,INSTR,210658951
T0 R443:3606477.286087,IMG_SHARPEN,1,6,6,3606477.286133,3606477.306320,3606477.432819,INSTR,1166462855
T0 R444:3606477.288425,IMG_SHARPEN,1,11,11,3606477.288469,3606477.432829,3606477.454172,INSTR,210998380
T0 R452:3606477.507075,IMG_BLUR,1,21,21,3606477.507110,3606477.707670,3606477.724139,INSTR,102151657
